Key,English,Russian,Turkmen
"about.award.desc","Year of Most Exported Products — Turkmenistan. Recognized for outstanding contribution to the nation's export industry.","Год наибольшего экспорта продукции — Туркменистан. Признано за выдающийся вклад в экспортную отрасль страны.","Iň köp eksport edilen önümleriň ýyly — Türkmenistan. Milli eksport senagatyna goşulan üstün goşandy üçin tanaldy."
"about.award.subtitle","Excellence in Manufacturing","Превосходство в производстве","Önümçilikde üstünlik"
"about.award.title","Industry Recognition","Признание отрасли","Senagat tanalmasy"
"about.certificates.subtitle","Proven capacity and standards","Доказанная мощность и стандарты","Subut edilen kuwwat we standartlar"
"about.certificates.subtitle.full","Internationally recognized certifications ensuring the highest standards in quality, environmental responsibility, and workplace safety.","Международно признанные сертификаты, обеспечивающие высочайшие стандарты качества, экологической ответственности и безопасности на рабочем месте.","Halkara derejesinde tanalan sertifikatlar, hilde, daşky gurşaw jogapkärçiliginde we iş ýeri howpsuzlygynda iň ýokary standartlary üpjün edýär."
"about.certificates.title","Our Certifications","Наши сертификаты","Bizim sertifikatlarymyz"
"about.features.machinery.desc","Belgian Vandewiele looms deliver detail, density, and repeatable quality at production speeds.","Бельгийские ткацкие станки Vandewiele обеспечивают детализацию, плотность и повторяемое качество на производственных скоростях.","Belgiýa Vandewiele dokuwa maşynlary jikme-jikmeler, gatlyk we önüm tizliklerinde gaýtalanýan hili üpjün edýär."
"about.features.machinery.title","Precision Machinery","Точное оборудование","Takyk maşynlar"
"about.features.yarn.desc","We spin polypropylene yarn in-house on German Neumag lines to ensure color-fastness and consistency.","Мы производим полипропиленовую пряжу на немецких линиях Neumag для обеспечения устойчивости цвета и последовательности.","Reňk berkligi we yzygiderliligini üpjün etmek üçin nemes Neumag çyzygylarynda polipropilen ýüplügini öýde öndürýäris."
"about.features.yarn.title","Own Yarn, Reliable Quality","Собственная пряжа, надежное качество","Öz ýüplügimiz, ynamdar hil"
"about.hero.contact","Contact Us","Свяжитесь с нами","Biz bilen habarlaşyň"
